iter	Passed	Remaining
604	2418	1578
605	2421	1574
606	2424	1569
607	2427	1565
608	2431	1560
609	2434	1556
610	2438	1552
611	2443	1548
612	2447	1545
613	2451	1541
614	2455	1537
615	2460	1533
616	2464	1529
617	2467	1525
618	2472	1521
619	2476	1517
620	2480	1513
621	2485	1510
622	2489	1506
623	2493	1502
624	2498	1498
625	2501	1494
626	2504	1490
627	2509	1486
628	2514	1482
629	2517	1478
630	2520	1474
631	2525	1470
632	2529	1466
633	2533	1462
634	2537	1458
635	2541	1454
636	2545	1450
637	2549	1446
638	2553	1442
639	2557	1438
640	2562	1435
641	2566	1430
642	2570	1426
643	2573	1422
644	2577	1418
645	2581	1414
646	2585	1410
647	2588	1406
648	2592	1401
649	2596	1398
650	2600	1393
651	2603	1389
652	2607	1385
653	2610	1381
654	2613	1376
655	2617	1372
656	2620	1368
657	2623	1363
658	2627	1359
659	2630	1355
660	2634	1351
661	2637	1346
662	2641	1342
663	2644	1338
664	2648	1334
665	2651	1329
666	2655	1325
667	2659	1321
668	2663	1317
669	2667	1313
670	2670	1309
671	2674	1305
672	2677	1301
673	2682	1297
674	2685	1293
675	2689	1289
676	2693	1285
677	2696	1280
678	2700	1276
679	2703	1272
680	2707	1268
681	2711	1264
682	2714	1260
683	2718	1255
684	2721	1251
685	2725	1247
686	2729	1243
687	2732	1239
688	2736	1235
689	2739	1231
690	2743	1226
691	2747	1222
692	2750	1218
693	2754	1214
694	2757	1210
695	2761	1206
696	2764	1201
697	2768	1197
698	2771	1193
699	2775	1189
700	2778	1185
701	2782	1181
702	2790	1178
703	2796	1175
704	2814	1177
705	2832	1179
706	2845	1179
707	2859	1179
708	2869	1177
709	2879	1176
710	2888	1174
711	2896	1171
712	2906	1170
713	2917	1168
714	2926	1166
715	2953	1171
716	2964	1169
717	2993	1175
718	3012	1177
719	3022	1175
720	3030	1172
721	3035	1168
722	3039	1164
723	3043	1160
724	3048	1156
725	3053	1152
726	3059	1148
727	3064	1145
728	3070	1141
729	3076	1138
730	3082	1134
731	3087	1130
732	3093	1126
733	3099	1123
734	3105	1119
735	3111	1116
736	3118	1112
737	3124	1109
738	3130	1105
739	3136	1101
740	3141	1098
741	3147	1094
742	3153	1090
743	3158	1086
744	3163	1082
745	3168	1078
746	3174	1075
747	3182	1072
748	3190	1069
749	3198	1066
750	3203	1062
751	3207	1057
752	3212	1053
753	3218	1050
754	3223	1045
755	3228	1041
756	3232	1037
757	3237	1033
758	3244	1030
759	3249	1026
760	3255	1022
761	3263	1019
762	3270	1015
763	3275	1011
764	3279	1007
765	3284	1003
766	3288	999
767	3292	994
768	3296	990
769	3300	985
770	3304	981
771	3308	977
772	3312	972
773	3315	968
774	3319	963
775	3323	959
776	3327	954
777	3331	950
778	3334	946
779	3338	941
780	3342	937
781	3346	932
782	3349	928
783	3353	923
784	3357	919
785	3361	915
786	3363	910
787	3366	905
788	3370	901
789	3373	896
790	3376	892
791	3379	887
792	3382	882
793	3385	878
794	3388	873
795	3391	869
796	3395	864
797	3398	860
798	3401	855
799	3404	851
800	3408	846
801	3411	842
802	3414	837
803	3417	833
804	3420	828
805	3423	824
806	3426	819
807	3429	814
808	3432	810
809	3435	805
810	3439	801
811	3442	796
812	3445	792
813	3449	788
814	3452	783
815	3455	779
816	3458	774
817	3462	770
818	3466	766
819	3469	761
820	3473	757
821	3476	752
822	3480	748
823	3483	744
824	3487	739
825	3491	735
826	3495	731
827	3498	726
828	3501	722
829	3505	717
830	3508	713
831	3511	709
832	3515	704
833	3518	700
834	3521	695
835	3526	691
836	3530	687
837	3534	683
838	3537	678
839	3541	674
840	3544	670
841	3548	665
842	3552	661
843	3556	657
844	3559	653
845	3563	648
846	3567	644
847	3570	640
848	3574	635
849	3577	631
850	3581	627
851	3585	622
852	3589	618
853	3593	614
854	3596	609
855	3599	605
856	3603	601
857	3607	597
858	3610	592
859	3615	588
860	3619	584
861	3622	579
862	3626	575
863	3629	571
864	3633	567
865	3636	562
866	3640	558
867	3644	554
868	3647	549
869	3651	545
870	3655	541
871	3658	537
872	3661	532
873	3664	528
874	3667	523
875	3670	519
876	3674	515
877	3676	510
878	3679	506
879	3682	502
880	3685	497
881	3689	493
882	3692	489
883	3695	484
884	3698	480
885	3703	476
886	3707	472
887	3711	468
888	3715	463
889	3719	459
890	3723	455
891	3726	451
892	3729	446
893	3732	442
894	3735	438
895	3739	434
896	3742	429
897	3745	425
898	3748	421
899	3751	416
900	3754	412
901	3757	408
902	3760	403
903	3764	399
904	3768	395
905	3771	391
906	3776	387
907	3781	383
908	3784	378
909	3788	374
910	3790	370
911	3793	366
912	3798	361
913	3801	357
914	3805	353
915	3807	349
916	3810	344
917	3813	340
918	3816	336
919	3820	332
920	3822	327
921	3825	323
922	3828	319
923	3831	315
924	3835	310
925	3838	306
926	3841	302
927	3844	298
928	3847	294
929	3850	289
930	3853	285
931	3857	281
932	3860	277
933	3863	272
934	3866	268
935	3869	264
936	3872	260
937	3875	256
938	3878	251
939	3881	247
940	3885	243
941	3888	239
942	3891	235
943	3894	231
944	3897	226
945	3901	222
946	3904	218
947	3907	214
948	3910	210
949	3913	205
950	3917	201
951	3920	197
952	3923	193
953	3926	189
954	3929	185
955	3933	181
956	3936	176
957	3939	172
958	3942	168
959	3945	164
960	3948	160
961	3951	156
962	3954	151
963	3957	147
964	3960	143
965	3963	139
966	3967	135
967	3970	131
968	3973	127
969	3976	122
970	3979	118
971	3983	114
972	3986	110
973	3989	106
974	3992	102
975	3995	98
976	3998	94
977	4001	90
978	4004	85
979	4008	81
980	4011	77
981	4015	73
982	4018	69
983	4021	65
984	4024	61
985	4027	57
986	4032	53
987	4035	49
988	4040	44
989	4043	40
990	4047	36
991	4050	32
992	4053	28
993	4057	24
994	4060	20
995	4063	16
996	4067	12
997	4070	8
998	4073	4
999	4076	0
