iter	MAE
0	166.0446791
1	165.0451484
2	163.9615904
3	162.8531014
4	161.8383935
5	160.9838479
6	159.9096149
7	159.058882
8	157.9945255
9	156.985301
10	156.2047898
11	155.3968195
12	154.3894435
13	153.3839374
14	152.4084367
15	151.6194711
16	150.690614
17	149.8090127
18	148.7988874
19	147.9540448
20	146.9385273
21	146.1238765
22	145.3316813
23	144.5354442
24	143.7723356
25	142.7903578
26	141.9557258
27	141.1995558
28	140.5715655
29	139.7709071
30	139.0198062
31	138.2178176
32	137.5023839
33	136.6656095
34	135.985337
35	135.2546422
36	134.5879383
37	133.7623454
38	133.0391597
39	132.3053118
40	131.7760972
41	131.0206292
42	130.2302794
43	129.495153
44	128.6786068
45	128.0040726
46	127.4402038
47	126.7592063
48	126.0305611
49	125.3873567
50	124.7540009
51	124.1394532
52	123.3679049
53	122.7680663
54	122.3572112
55	121.790546
56	121.1655733
57	120.5162052
58	120.0969336
59	119.4537257
60	118.9236883
61	118.3238901
62	117.8601307
63	117.3520861
64	116.738746
65	116.2595616
66	115.7706291
67	115.1796182
68	114.7216471
69	114.2732814
70	113.7266227
71	113.2594738
72	112.7510159
73	112.1912892
74	111.7903687
75	111.3745551
76	110.8922409
77	110.3965614
78	109.8914156
79	109.4928729
80	108.9522224
81	108.5097859
82	107.9855726
83	107.5855743
84	107.0874791
85	106.6087748
86	106.0968408
87	105.6306466
88	105.1936928
89	104.801455
90	104.3863221
91	103.9946319
92	103.5580239
93	103.1065202
94	102.6705346
95	102.2315941
96	101.7630646
97	101.3509792
98	100.9228789
99	100.5253868
100	100.1603416
101	99.76949783
102	99.33348053
103	98.90064251
104	98.4887241
105	98.1704197
106	97.78596557
107	97.31488646
108	96.967233
109	96.62695189
110	96.22311544
111	95.75772152
112	95.47680236
113	95.12272985
114	94.70141847
115	94.34353018
116	94.02183371
117	93.69601749
118	93.35012143
119	93.07342793
120	92.7122285
121	92.29264602
122	91.93442236
123	91.58728137
124	91.29224709
125	91.01135173
126	90.68293769
127	90.3278601
128	89.93424546
129	89.61547634
130	89.29605995
131	89.00065077
132	88.76380812
133	88.45072771
134	88.14085091
135	87.86424488
136	87.56394733
137	87.30146261
138	86.94208634
139	86.60731566
140	86.35507731
141	86.0602677
142	85.81802044
143	85.58017549
144	85.32313472
145	85.04734557
146	84.77520068
147	84.54042564
148	84.26778653
149	84.03458425
150	83.77173604
151	83.50489523
152	83.24246905
153	82.95521997
154	82.65831846
155	82.33411591
156	82.07552813
157	81.8121085
158	81.54380961
159	81.24177134
160	80.95938526
161	80.64777735
162	80.37183537
163	80.18633445
164	79.96532738
165	79.75891512
166	79.47326955
167	79.24804861
168	79.0084773
169	78.7808694
170	78.48522305
171	78.23111561
172	77.98667909
173	77.77741779
174	77.546705
175	77.33529279
176	77.11133298
177	76.86376365
178	76.66349719
179	76.37930833
180	76.11521379
181	75.81703821
182	75.5464859
183	75.36957064
184	75.17155159
185	74.92957902
186	74.72924335
187	74.44796249
188	74.28164279
189	74.00057558
190	73.78205913
191	73.57270547
192	73.38504077
193	73.17723869
194	72.97408293
195	72.78632974
196	72.58615622
197	72.41515398
198	72.16965222
199	71.99333011
200	71.79011502
201	71.62371294
202	71.40971564
203	71.21538172
204	71.02466511
205	70.82840769
206	70.63527987
207	70.44141613
208	70.23714313
209	70.03784938
210	69.7870825
211	69.61475967
212	69.49524247
213	69.22661693
214	68.98117443
215	68.78938001
216	68.62425452
217	68.42537377
218	68.2780838
219	68.09612997
220	67.93819228
221	67.81822791
222	67.58995091
223	67.39885423
224	67.28864842
225	67.10666451
226	66.98173432
227	66.7633898
228	66.61690105
229	66.43423724
230	66.28651203
231	66.11113552
232	65.95833314
233	65.72618824
234	65.5701119
235	65.37926936
236	65.23240633
237	64.99435742
238	64.84167191
239	64.65943418
240	64.46673969
241	64.32894462
242	64.09219653
243	63.87891467
244	63.70213669
245	63.54159749
246	63.34067505
247	63.19050609
248	63.05779878
249	62.86412514
250	62.73072914
251	62.59265958
252	62.46394101
253	62.32367268
254	62.16083259
255	62.02291999
256	61.88837819
257	61.66468855
258	61.50562289
259	61.29652242
260	61.16810779
261	60.96325699
262	60.80948091
263	60.66795126
264	60.468571
265	60.33090977
266	60.20643679
267	60.09542454
268	59.97581472
269	59.85695015
270	59.62045439
271	59.47029191
272	59.28943528
273	59.14992245
274	59.0308111
275	58.90379339
276	58.76018407
277	58.54148511
278	58.36385516
279	58.25785645
280	58.08559556
281	57.93298657
282	57.80285556
283	57.67392999
284	57.55240153
285	57.45370823
286	57.27764534
287	57.16159244
288	57.05087644
289	56.92307114
290	56.7898372
291	56.64712574
292	56.50311417
293	56.39924397
294	56.26280298
295	56.14536862
296	56.01216391
297	55.87534728
298	55.77566695
299	55.64710003
300	55.48602579
301	55.31958658
302	55.20642915
303	55.10552797
304	54.95795394
305	54.78357854
306	54.64634543
307	54.46560854
308	54.34121411
309	54.24820907
310	54.08680726
311	53.91061115
312	53.8119702
313	53.62165387
314	53.52076865
315	53.3738494
316	53.25404996
317	53.08353699
318	52.96224484
319	52.85520921
320	52.71400957
321	52.56736622
322	52.3669461
323	52.26541258
324	52.16519377
325	52.05047022
326	51.97163131
327	51.85415825
328	51.70776375
329	51.59903143
330	51.51318413
331	51.41783256
332	51.29405967
333	51.14287785
334	51.00679862
335	50.91689808
336	50.79286387
337	50.68736016
338	50.5702453
339	50.47771872
340	50.29253064
341	50.17675677
342	50.05283862
343	49.95535469
344	49.83132938
345	49.73156928
346	49.64448023
347	49.49872088
348	49.38514266
349	49.23749084
350	49.08014334
351	48.98913016
352	48.84843494
353	48.76579105
354	48.70250072
355	48.55697028
356	48.4704472
357	48.34205404
358	48.25453861
359	48.16275512
360	48.02627008
361	47.94379688
362	47.82642045
363	47.73312727
364	47.60896608
365	47.52433105
366	47.37975083
367	47.29061527
368	47.15940022
369	47.08075168
370	46.99745857
371	46.8906876
372	46.80726771
373	46.68827412
374	46.58900493
375	46.47420724
376	46.31204937
377	46.17629038
378	46.07276202
379	45.9664978
380	45.8772523
381	45.74802395
382	45.6667683
383	45.55805975
384	45.46281537
385	45.37111275
386	45.28075781
387	45.14425209
388	45.02519067
389	44.93601501
390	44.86384034
391	44.77014431
392	44.65174431
393	44.56050585
394	44.4856466
395	44.3643474
396	44.27002615
397	44.19627513
398	44.07220931
399	43.97237674
400	43.88691843
401	43.80602727
402	43.72267496
403	43.59644618
404	43.49689803
405	43.39190905
406	43.28849367
407	43.19190381
408	43.13386479
409	43.05192017
410	42.93157847
411	42.83469146
412	42.73544666
413	42.65168188
414	42.58789377
415	42.47030796
416	42.38821916
417	42.28139789
418	42.16600869
419	42.05415781
420	41.99169631
421	41.8818462
422	41.75877229
423	41.6913533
424	41.63864972
425	41.57314601
426	41.5059975
427	41.43602426
428	41.33588269
429	41.25785675
430	41.18956622
431	41.12757594
432	41.00693008
433	40.9032656
434	40.83307922
435	40.74145915
436	40.69015037
